,tweet
104,"b'Bueno ahora con ustedes el temazo de las novelas:\nDAME TU AMOR, TU CORAZ\xc3\x93N, ENCHAPADO EN ORO Y EN BILLETE MI AMOR,\xe2\x80\xa6 https://t.co/YXTqeM8MR5'"
105,"b""DRAKE'S IG UP | 20 | 07 | 2020 |\n\n@Drake_Laedeke comparti\xc3\xb3 el v\xc3\xaddeo de sus amigas haciendo un c\xc3\xb3ver de Ed Sheeran,\xe2\x80\xa6 https://t.co/0ubK3QIbg7"""
106,"b'RT @Kaarlaacarrill: El amor que das regresa a ti, en otro tiempo, en otra persona, o en otras circunstancias, pero siempre regresa.'"
107,"b'RT @LaauuuV: El MV de @BTS_twt ""Mic Drop"" ha sobrepasado los 700M de views.\nVamos Armys a seguir d\xc3\xa1ndole amor a esta joyita!\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c\n #MDR700M\nht\xe2\x80\xa6'"
108,"b'Si las miradas mataran, la tuya me hizo el amor'"
109,"b'RT @hijadlaluna_: Camino ser\xc3\xa1 feliz, por fin, con el amor de su vida.\nFelicitar a @acacias38_tve por hacer un final feliz y no uno tr\xc3\xa1gico\xe2\x80\xa6'"
110,"b'RT @BenjaminGriss: Una ola lo trajo\ny una ola se lo llev\xc3\xb3.\n\nElla entendi\xc3\xb3 que, si bien no era el amor de su vida, \xc3\xa9l era esa paz que existe\xe2\x80\xa6'"
111,b'aqui estoy mi amor https://t.co/vb4E0TbP0a'
112,"b'210 a\xc3\xb1os de independencia, elevemos la bandera como s\xc3\xadmbolo de amor y patria.\n\n#FUERZAYSOLIDARIDAD #20DeJulio https://t.co/u5FcF4hMHZ'"
113,b'RT @ivannoble: La amistad tiene una gran ventaja sobre el amor: jam\xc3\xa1s pregunta a qu\xc3\xa9 hora llegaste anoche.'
114,b'RT @nicolas_aveiro7: Yo Plata y suerte en el amor nunca luego tengo jajajajajajajas'
115,"b'RT @SerenaTrillas: Antes mendigaba amor y amistad de una forma tan penosa, ahora estoy re trank y si pinta arreglar algo, se arregla y sino\xe2\x80\xa6'"
116,"b'Mi amor no es culpa tuya NINGUNA!! Por favor no se sientas haci! Estoy bien, estoy feliz, estoy balanceada! Prefer\xc3\xad\xe2\x80\xa6 https://t.co/nEGzhw6OgA'"
117,"b'RT @alfonsoleon10: ""La felicidad no es como dicen, que s\xc3\xb3lo dura un instante y no se sabe que se tuvo sino cuando se acab\xc3\xb3. La verdad es qu\xe2\x80\xa6'"
118,b'RT @DelaCampaRDFiel: Estoy que estornudo confeti\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d @CHRISDELACAMPA \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d. Qu\xc3\xa9 emoci\xc3\xb3n mi amor \n#VencerElDesamor \n#CampanitasFieles https://t\xe2\x80\xa6'
119,b'Bye amor de cuarentena'
120,"b'RT @timmyenchanclas: liam es un ser de luz, un amor de persona que a pasado por mucho y no merece todo el odio que le tiran, siempre busca\xe2\x80\xa6'"
121,"b'Cuando tu ""amics"" t diga cosas feas aplica la de la chiquilla del amor. ""lA sOlUcIoN eS eL aMo0R""'"
122,b'RT @jchavezzzz: amor de tu vida bb https://t.co/gd0ycnbTG0'
123,b'\xf0\x9f\x90\xb6\xf0\x9f\x92\x95 Qui\xc3\xa9n m\xc3\xa1s ama a sus #mascotas\xe2\x9d\x94\xe2\x9d\xa4\nQue nos alegran el d\xc3\xada \xf0\x9f\x8c\x9e\xf0\x9f\x8c\x9c\nFeliz inicio de semana! \xe2\x98\x95\n\n#XperticiaOnlineRadio\xe2\x80\xa6 https://t.co/Y4WiL8KCGj'
124,"b'RT @FuerzasMilCol: Nuestra bandera, s\xc3\xadmbolo de amor y entrega por #Colombia. Por eso los soldados aviadores rendimos un homenaje a estos 21\xe2\x80\xa6'"
125,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
126,b'RT @Iuzdelalma: como pueden menospreciar a abel cuando nos dio la joya de TODO POR IGUAL DEBERIA EsTAR COMPARTIDO AL ARDOR DEeSTE FRIIOOOOO\xe2\x80\xa6'
127,b'RT @Dparleymexico: El de hoy para manejo de bank\n\nEchenle amor y cari\xc3\xb1o para que ganemos todos \n\n\xe2\x9d\xa4 y RT https://t.co/yh0kt4t41M'
128,"b'RT @cityoran: Un d\xc3\xada una amiga me estaba contando su historia de amor que nunca funcion\xc3\xb3, la escuche y lo dijo con tanto sentimiento que me\xe2\x80\xa6'"
129,b'@Ivansi70 @tyson_d3mon @10MACB @bananoverdolaga @Tavo201977 Tranquilo que todos sabemos tu amor por Narcopam'
130,"b'@Idara_33 @SATAN_GHOUL666 Eso es amor del bueno, dios les bendiga .'"
131,b'@Krajita Co\xc3\xb1o mi amor pero tu nojombre vale... https://t.co/p4P2Qk6OBJ'
